source_index,sub_index,source_reference,source_section,checkpoint_core_scope,key,entry_type,title,authors,year,venue,doi,arxiv,best_url,pdf_url,access_status,publisher,volume,number,pages,note,local_bib_key,local_bib_source,attachment_path,attachment_sha256,download_status,download_error
41,1,"Angelopoulos, A. N. and Bates, S. 2021. A Gentle Introduction to Conformal Prediction.",7. 不确定性校准、选择性预测与 evidence gate,True,angelopoulos2021conformal,article,A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification,"Angelopoulos, Anastasios N.; Bates, Stephen",2021,arXiv preprint arXiv:2107.07511,,2107.07511,https://arxiv.org/abs/2107.07511,https://arxiv.org/pdf/2107.07511,open_pdf_known,,,,,,,,/Users/zhouning/Zotero/storage/TWM_AUTHORITATIVE_REFERENCES/Angelopoulos_2021_angelopoulos2021conformal.pdf,c69aa191d8363c25b36685db4adb7e6980e55ee39892fd3626206c16e1e0efa1,already_exists,
42,1,"Geifman, Y. and El-Yaniv, R. 2017. Selective Classification for Deep Neural Networks.",7. 不确定性校准、选择性预测与 evidence gate,True,geifman2017selective,article,Selective Classification for Deep Neural Networks,"Geifman, Yonatan; El-Yaniv, Ran",2017,arXiv preprint arXiv:1705.08500,,1705.08500,https://arxiv.org/abs/1705.08500,https://arxiv.org/pdf/1705.08500,open_pdf_known,,,,,,,,,,not_attempted,
43,1,"Geifman, Y. and El-Yaniv, R. 2019. SelectiveNet.",7. 不确定性校准、选择性预测与 evidence gate,True,geifman2019selectivenet,inproceedings,SelectiveNet: A Deep Neural Network with an Integrated Reject Option,"Geifman, Yonatan; El-Yaniv, Ran",2019,Proceedings of the 36th International Conference on Machine Learning,,,https://proceedings.mlr.press/v97/geifman19a.html,https://proceedings.mlr.press/v97/geifman19a/geifman19a.pdf,open_pdf_known,,97,,2151--2159,,,,,,not_attempted,
44,1,"Mitchell, M. et al. 2019. Model Cards for Model Reporting.",7. 不确定性校准、选择性预测与 evidence gate,True,mitchell2019modelcards,inproceedings,Model Cards for Model Reporting,"Mitchell, Margaret; Wu, Simone; Zaldivar, Andrew; Barnes, Parker; Vasserman, Lucy; Hutchinson, Ben; Spitzer, Elena; Raji, Inioluwa Deborah; Gebru, Timnit",2019,"Proceedings of the Conference on Fairness, Accountability, and Transparency",10.1145/3287560.3287596,,https://doi.org/10.1145/3287560.3287596,https://dl.acm.org/doi/pdf/10.1145/3287560.3287596,open_pdf_may_require_publisher_access,,,,220--229,,,,,,not_attempted,
45,1,"Gebru, T. et al. 2021. Datasheets for Datasets.",7. 不确定性校准、选择性预测与 evidence gate,True,gebru2021datasheets,article,Datasheets for Datasets,"Gebru, Timnit; Morgenstern, Jamie; Vecchione, Briana; Vaughan, Jennifer Wortman; Wallach, Hanna; Daume III, Hal; Crawford, Kate",2021,Communications of the ACM,10.1145/3458723,1803.09010,https://doi.org/10.1145/3458723,https://arxiv.org/pdf/1803.09010,open_pdf_known,,64,12,86--92,,,,/Users/zhouning/Zotero/storage/TWM_AUTHORITATIVE_REFERENCES/Gebru_2021_gebru2021datasheets.pdf,c7f595988ee2c109631d5173fdae37ff1774c68ec17add51bd012f2a6e8792d0,already_exists,
46,1,"Wilkinson, M. D. et al. 2016. The FAIR Guiding Principles for scientific data management and stewardship.",8. Provenance、FAIR 与 GIS 可审计证据链,True,wilkinson2016fair,article,The FAIR Guiding Principles for scientific data management and stewardship,"Wilkinson, Mark D.; Dumontier, Michel; Aalbersberg, IJsbrand Jan; Appleton, Gabrielle; Axton, Myles; Baak, Arie; Blomberg, Niklas; Boiten, Jan-Willem; da Silva Santos, Luiz Bonino; Bourne, Philip E.",2016,Scientific Data,10.1038/sdata.2016.18,,https://doi.org/10.1038/sdata.2016.18,https://www.nature.com/articles/sdata201618.pdf,open_pdf_known,,3,,160018,,,,/Users/zhouning/Zotero/storage/TWM_AUTHORITATIVE_REFERENCES/Wilkinson_2016_wilkinson2016fair.pdf,cdddd9f4808f7e3e1f013139c3915ef4d7cdccb008fa947ef5f72b4c7b6ffde7,already_exists,
47,1,"W3C PROV-DM, 2013. PROV Data Model.",8. Provenance、FAIR 与 GIS 可审计证据链,False,w3c2013provdm,misc,PROV-DM: The PROV Data Model,"Moreau, Luc; Missier, Paolo",2013,W3C Recommendation,,,https://www.w3.org/TR/prov-dm/,,metadata_only_standard,,,,,,,,,,not_attempted,
48,1,"Moreau, L. et al. 2011. The Open Provenance Model core specification.",8. Provenance、FAIR 与 GIS 可审计证据链,False,moreau2011opm,article,The Open Provenance Model core specification (v1.1),"Moreau, Luc; Clifford, Ben; Freire, Juliana; Futrelle, Joe; Gil, Yolanda; Groth, Paul; Kwasnikowska, Natalia; Miles, Simon; Missier, Paolo; Myers, Jim; Plale, Beth; Simmhan, Yogesh; Stephan, Eric; Van den Bussche, Jan",2011,Future Generation Computer Systems,10.1016/j.future.2010.07.005,,https://doi.org/10.1016/j.future.2010.07.005,,metadata_only_paywalled_or_no_stable_open_pdf,,27,6,743--756,,,,,,not_attempted,
49,1,ISO 19115 Geographic information metadata.,8. Provenance、FAIR 与 GIS 可审计证据链,False,iso19115,standard,ISO 19115 Geographic information - Metadata,International Organization for Standardization,2014,ISO 19115-1:2014,,,https://www.iso.org/standard/53798.html,,metadata_only_standard,,,,,,,,,,not_attempted,
50,1,ISO 19157 Geographic information data quality.,8. Provenance、FAIR 与 GIS 可审计证据链,False,iso19157,standard,ISO 19157 Geographic information - Data quality,International Organization for Standardization,2013,ISO 19157:2013,,,https://www.iso.org/standard/32575.html,,metadata_only_standard,,,,,,,,,,not_attempted,
51,1,"Clarke, K. C., Hoppen, S. and Gaydos, L. 1997. SLEUTH urban growth model.",9. 传统土地利用变化与空间模拟：作为 baseline，不作为 TWM 主干,False,clarke1997sleuth,article,A self-modifying cellular automaton model of historical urbanization in the San Francisco Bay area,"Clarke, Keith C.; Hoppen, Stacy; Gaydos, Leonard",1997,Environment and Planning B: Planning and Design,10.1068/b240247,,https://doi.org/10.1068/b240247,,metadata_only_paywalled_or_no_stable_open_pdf,,24,2,247--261,,,,,,not_attempted,
52,1,"Verburg, P. H. et al. 2002. CLUE-S land-use change model.",9. 传统土地利用变化与空间模拟：作为 baseline，不作为 TWM 主干,False,verburg2002clues,article,Modeling the spatial dynamics of regional land use: The CLUE-S model,"Verburg, Peter H.; Soepboer, Welmoed; Veldkamp, A.; Limpiada, R.; Espaldon, V.; Mastura, S. S. A.",2002,Environmental Management,10.1007/s00267-002-2630-x,,https://doi.org/10.1007/s00267-002-2630-x,,metadata_only_paywalled_or_no_stable_open_pdf,,30,3,391--405,,,,,,not_attempted,
53,1,"Liu, X. et al. 2017. FLUS model.",9. 传统土地利用变化与空间模拟：作为 baseline，不作为 TWM 主干,False,liu2017flus,article,A future land use simulation model (FLUS) for simulating multiple land use scenarios by coupling human and natural effects,"Liu, Xiaoping; Liang, Xia; Li, Xia; Xu, Xiaocong; Ou, Jianfeng; Chen, Yong",2017,Landscape and Urban Planning,10.1016/j.landurbplan.2017.09.019,,https://doi.org/10.1016/j.landurbplan.2017.09.019,,metadata_only_paywalled_or_no_stable_open_pdf,,168,,94--116,,,,,,not_attempted,
54,1,"Liang, X. et al. 2021. PLUS patch-generating land use simulation.",9. 传统土地利用变化与空间模拟：作为 baseline，不作为 TWM 主干,False,liang2021plus,article,"Understanding the drivers of sustainable land expansion using a patch-generating land use simulation (PLUS) model: A case study in Wuhan, China","Liang, Xia; Guan, Qingfeng; Clarke, Keith C.; Liu, Sai; Wang, Bing; Yao, Yong",2021,"Computers, Environment and Urban Systems",10.1016/j.compenvurbsys.2020.101569,,https://doi.org/10.1016/j.compenvurbsys.2020.101569,,metadata_only_paywalled_or_no_stable_open_pdf,,85,,101569,,,,,,not_attempted,
